gene,mean_expression
KRT6A,4.88357832139691
KRT6B,4.875577932162001
KRT14,4.755983578448264
S100A8,4.526125815135754
KRT16,4.4331411549587125
KRT6C,4.4195348687519305
KRT5,4.38242536585852
S100A9,4.266811015590137
KRT17,4.061366093474508
COL1A1,4.019859879024771
ACTB,3.8633341895823445
S100A2,3.7592045274001875
RPLP1,3.74894360595981
SPRR1B,3.693932279451004
EEF1A1,3.6612247820721557
PERP,3.6039735941302697
SFN,3.509206950861887
RPS12,3.4424555885870727
COL1A2,3.4178331078875144
RPLP2,3.412719072687705
B2M,3.407039738451408
KRT10,3.3966982433732773
HLA.B,3.3756371063507156
RPL13,3.2850782746905525
TPT1,3.2585898357511356
ACTG1,3.2398355226248303
LGALS7B,3.2342022317924246
LGALS7,3.19166119998654
PFN1,3.1895788698796403
RPS24,3.184963745194555
COL3A1,3.1629615312577872
RPL37A,3.1388434631540285
RPS6,3.1158319863657287
RPS18,3.100235705541459
RPLP0,3.096205792877058
RPL28,3.093089196460926
KRT1,3.081684466130686
RPL13A,3.061072322114414
RPS8,3.0312554220490107
CXCL14,3.0306054513580754
RPS17,3.0297354011740905
GJB2,3.0022278483340283
RPL32,3.0011969230427646
FABP5,2.995028297040636
S100A7,2.989712117424864
RPL31,2.9787941004661533
RPS27,2.962058332976916
TMSB10,2.9574801150141963
RPL36,2.957308651793082
RPL11,2.951583037510613
RPS29,2.9131564444658773
RACK1,2.9078141287067867
RPS11,2.906049139156247
RPL27A,2.8916988082674164
RPL27,2.8855194962577313
ENO1,2.8791778255377385
RPS14,2.8573675941157815
RPL34,2.827996899750059
RPL8,2.818236208909395
RPL23,2.8176546831004665
RPS19,2.7981350056777727
RPL19,2.7957193332397385
RPS27A,2.790950261303131
RPS2,2.7828207574538046
RPS28,2.7741451887105475
RPL3,2.7609247006722635
CSTA,2.746736059520418
RPL37,2.690427874097761
DSP,2.684882057423623
RPL9,2.6686191689099696
JUP,2.652664913049597
RPS25,2.621366660326522
TMSB4X,2.6186613451368763
RPL7A,2.6156805933311285
SPARC,2.6125144504553437
RPL12,2.6082778657903734
UBA52,2.587102098970224
GSTP1,2.5580699905654454
VIM,2.55581896905078
FTL,2.531181075024289
RPL6,2.5236720914477546
CSTB,2.520271496070142
PABPC1,2.518346628211192
RPS3,2.510556257126347
RPL35A,2.4925323560932613
KRTDAP,2.487751893452461
ANXA2,2.486396123932687
RPL39,2.4860908412775458
RPS23,2.4860552217786673
AQP3,2.460835961217912
LDHA,2.428012141328774
RPL38,2.4060903686956063
MYL6,2.40187271462371
RPS13,2.39979445914559
DMKN,2.3980667578266157
S100A14,2.3948953300714493
SPRR2A,2.38278101641216
RPL10,2.380270345716287
RPS4X,2.3595614204343582
EEF2,2.349047402475054
S100A6,2.341520181702857
RPL29,2.331154659587816
RPL21,2.3304906295032692
S100A11,2.3235065280799043
HLA.A,2.322122864375841
DCD,2.321126257988396
CD74,2.320908630525829
RPL18,2.304659482461727
RPL18A,2.2900983742530774
RPS15A,2.289631619161328
SH3BGRL3,2.2834604419027733
RPL4,2.2769059791470205
YWHAZ,2.2726922171400084
RPL24,2.27107474049985
RPL7,2.262997483575581
UBC,2.2590474806084537
RPS7,2.234426594135777
LY6D,2.2305227778605277
RPL15,2.2291590376997625
RPS3A,2.215133686827508
ANXA1,2.2144909671797657
CFL1,2.196784665351672
RPL14,2.194362318871037
DSC2,2.1878624050723796
CST3,2.1793807895965136
PKP1,2.1769138541047934
PPIA,2.166989420522128
RPS16,2.1623196252529193
RPL26,2.158467466764103
SBSN,2.147707221326449
PTMA,2.147199326990456
FAU,2.1430245049741883
DCN,2.127250468099354
RPL5,2.1237608157838417
MYH9,2.1147792094590647
RPS20,2.112860747421814
COL6A1,2.100128876748464
IGFBP4,2.095222767417794
SLPI,2.080764028706298
IFI27,2.063702410074654
SDC1,2.062810864274865
RPL41,2.05044772046686
LMNA,2.034250503640301
HSPB1,2.0167873884668412
PKM,2.00237877814975
GJA1,1.9941654576371048
CD44,1.99097948624993
PSAP,1.9795754721129177
S100A10,1.970102558566245
CTSB,1.966275267549698
GNAS,1.9565266603665636
H3F3B,1.9497083553809993
ITM2B,1.9477556645870209
NACA,1.942481881439291
IVL,1.9375247926704142
LGALS1,1.9372988934844535
ALDOA,1.935821642149363
CD63,1.9340346710176657
AC090498.1,1.928476623154634
RPSA,1.890580991246053
RPL22,1.8841963825833719
EIF1,1.8546075626516974
FLNA,1.8537017799765858
GJB6,1.8402572488350584
CALML5,1.8375136047503016
TAGLN2,1.8365257411011007
RPS5,1.834116019061859
ATP5E,1.8245917765904736
AHNAK,1.8196083107926198
TPI1,1.8035706043835507
S100A16,1.794232481954903
ACTN4,1.792495344648298
DYNLL1,1.7896832485270027
RPS9,1.7827374865085084
RPS21,1.782155882838546
GRN,1.7785563160054731
KRT2,1.7705178336295861
HSPA8,1.758606024727916
COL6A2,1.746289992569298
PI3,1.7327805987947824
POLR2L,1.7194907342558665
MMP1,1.7043382679883219
AEBP1,1.6949319103794382
CALM1,1.6859712898731232
TXN,1.6854121083060638
RPL10A,1.6817793771131149
TGFBI,1.678447075928284
