gene,variance
KRT2,1.9918469571762838
IGFBP4,1.5389760810380273
DCD,1.3964271438836318
HLA.DRA,1.3556988882394938
CALML5,1.3224034669728904
DCN,1.2894259524364549
KRT1,1.2550436221163
RNASE1,1.221277293771296
CD74,1.2208821459581525
SPINK5,1.2022257564871623
PI3,1.185368641728762
IGFBP5,1.1795533287300295
CNFN,1.163961243539845
FTL,1.1628356091546959
CCDC80,1.1475419906384283
COL3A1,1.1339046326023616
KRTDAP,1.126374308099821
C1R,1.119282086657125
S100A7A,1.0987665929987567
TIMP1,1.086168357370947
SBSN,1.0800299003402203
MMP1,1.0760822865322686
KLK7,1.0731101456209247
AEBP1,1.0723112081529262
DSG1,1.0644493427344313
SPRR2A,1.0612473349440013
HLA.DPA1,1.050262646065602
FBLN1,1.0476270858464811
FLG,1.045765337211633
WISP2,1.040803314043167
MMP2,1.0378779684113864
COL6A3,1.0323286058792132
KRT10,1.0319863342758642
SPRR2E,1.0302735303864121
DSC2,1.0193082122865431
LUM,1.0163374109570638
COL6A1,1.0097956244886281
NNMT,1.0014633568277866
DMKN,0.9998884586631778
COL4A2,0.9961102803694066
SEPP1,0.9916085561686934
COL6A2,0.9910550659330227
SLPI,0.9883916300265954
CD24,0.9876977855987811
FTH1,0.9867320615497855
THY1,0.9856071173728383
CSTB,0.9775473572549908
TMEM45A,0.9707407477635608
DSG3,0.9672170171131856
FABP5,0.9670456395231262
SPRR2D,0.9657235501943482
FGFBP1,0.9652220934833379
PKP1,0.9570706290700752
COL17A1,0.9563361129143051
CDSN,0.9477382031469712
MUCL1,0.9433183712372906
TAGLN,0.9412243158874525
VIM,0.9359245755468469
S100A4,0.934619341324834
LYPD3,0.9328715980766146
DSC3,0.9325314714975623
PI16,0.9313271790863371
TNC,0.9296265077952728
LGALS1,0.9233600668817787
LY6D,0.9153718001460734
GJB6,0.914010724887259
IGFBP7,0.9130971481598165
IVL,0.909489761885317
ANXA1,0.9028026899432579
CD63,0.8955574140277315
SERPINB5,0.89319805315849
HLA.DPB1,0.8907596088370069
C1S,0.8815125632491884
SPARC,0.879992410374654
COL1A2,0.8774284870666171
POSTN,0.8752704952326315
FN1,0.8742433573719587
COL4A1,0.8698108888011837
SOD2,0.8679294542108854
FBN1,0.8642589449631745
S100A7,0.8630526792787278
TXN,0.8630020287764153
SPINK6,0.861726488394704
CLCA2,0.861592630752888
FSTL1,0.8579546921357873
CSTA,0.8572926598928001
CALML3,0.8552225972495684
SERPINB1,0.851368608310262
SERPINF1,0.8446964430769206
DSP,0.8424831853953262
TRIM29,0.8391866006497879
PSAP,0.8387865295093375
LAD1,0.837975914869723
A2M,0.8290174016045152
DEFB103A,0.8254251954511511
IL1RN,0.8218344970337433
SLC2A1,0.8195470760425916
DEFB103B,0.8174100032995406
ENG,0.814409703349834
YWHAQ,0.8128133505239377
GLTP,0.8083259899493385
AQP3,0.8047229455662983
COL1A1,0.8020183636487309
HTRA1,0.8009461350849262
SERPINB3,0.8009214123581871
FXYD3,0.800415564042439
