gene,variance
KRT2,1.9918469571762818
IGFBP4,1.5389760810380266
DCD,1.3964271438836309
HLA.DRA,1.35569888823949
CALML5,1.3224034669728901
DCN,1.289425952436455
KRT1,1.2550436221162993
RNASE1,1.2212772937712948
CD74,1.220882145958152
SPINK5,1.202225756487164
PI3,1.1853686417287592
IGFBP5,1.179553328730033
CNFN,1.1639612435398423
FTL,1.1628356091546954
CCDC80,1.1475419906384285
COL3A1,1.1339046326023607
KRTDAP,1.12637430809982
C1R,1.1192820866571211
S100A7A,1.0987665929987573
TIMP1,1.0861683573709495
SBSN,1.0800299003402187
MMP1,1.076082286532267
KLK7,1.0731101456209253
AEBP1,1.072311208152928
DSG1,1.0644493427344288
SPRR2A,1.061247334944001
HLA.DPA1,1.0502626460655977
FBLN1,1.0476270858464771
FLG,1.0457653372116347
WISP2,1.0408033140431667
MMP2,1.0378779684113835
COL6A3,1.0323286058792167
KRT10,1.0319863342758646
SPRR2E,1.030273530386414
DSC2,1.0193082122865418
LUM,1.0163374109570653
COL6A1,1.009795624488627
NNMT,1.0014633568277846
DMKN,0.9998884586631778
COL4A2,0.9961102803694091
SEPP1,0.9916085561686895
COL6A2,0.9910550659330208
SLPI,0.9883916300265954
CD24,0.9876977855987815
FTH1,0.9867320615497878
THY1,0.9856071173728376
CSTB,0.9775473572549902
TMEM45A,0.9707407477635605
DSG3,0.9672170171131854
FABP5,0.9670456395231269
SPRR2D,0.9657235501943449
FGFBP1,0.9652220934833396
PKP1,0.9570706290700755
COL17A1,0.9563361129143042
CDSN,0.9477382031469755
MUCL1,0.9433183712372968
TAGLN,0.9412243158874541
VIM,0.9359245755468472
S100A4,0.9346193413248345
LYPD3,0.9328715980766114
DSC3,0.9325314714975642
PI16,0.9313271790863439
TNC,0.9296265077952696
LGALS1,0.9233600668817801
LY6D,0.9153718001460726
GJB6,0.9140107248872584
IGFBP7,0.9130971481598175
IVL,0.9094897618853163
ANXA1,0.9028026899432577
CD63,0.8955574140277321
SERPINB5,0.8931980531584894
HLA.DPB1,0.8907596088370053
C1S,0.8815125632491906
SPARC,0.8799924103746533
COL1A2,0.8774284870666166
POSTN,0.8752704952326301
FN1,0.8742433573719581
COL4A1,0.869810888801187
SOD2,0.8679294542108867
FBN1,0.8642589449631713
S100A7,0.8630526792787278
TXN,0.8630020287764157
SPINK6,0.8617264883947
CLCA2,0.8615926307528861
FSTL1,0.8579546921357896
CSTA,0.8572926598928007
CALML3,0.8552225972495697
SERPINB1,0.851368608310263
SERPINF1,0.8446964430769229
DSP,0.842483185395327
TRIM29,0.8391866006497861
PSAP,0.8387865295093367
LAD1,0.8379759148697251
A2M,0.8290174016045162
DEFB103A,0.8254251954511473
IL1RN,0.8218344970337477
SLC2A1,0.8195470760425912
DEFB103B,0.8174100032995376
ENG,0.8144097033498331
YWHAQ,0.8128133505239357
GLTP,0.8083259899493366
AQP3,0.8047229455662976
COL1A1,0.802018363648731
HTRA1,0.8009461350849244
SERPINB3,0.8009214123581868
FXYD3,0.8004155640424377
S100A10,0.8003798260315291
PCOLCE,0.7995104725638343
TGFBI,0.7988899729982538
MT2A,0.7969653258117111
SPRR1A,0.7936929875795348
HSPB1,0.7928408428854152
S100A16,0.7913417585827887
FSCN1,0.7895769986286252
SDC1,0.7893419967842187
GJA1,0.7881117002865591
SPRR2F,0.7845594614060275
SFRP2,0.7813208855827279
MYL9,0.780647970082735
BGN,0.7783172863442801
TXNDC17,0.7743051049697031
CFD,0.7731755288434734
LOR,0.7723363283293044
NPM1,0.7716542810903995
COL18A1,0.7710925800926601
LAPTM5,0.7701209912049166
S100A11,0.769041609103777
SPRR2B,0.7630176992788776
CALM1,0.7629257730100335
CTSK,0.7607751063837578
COL7A1,0.760577278351093
CD14,0.76046955038948
ANXA8L1,0.7582391028223313
SSR4,0.7574701962682164
ANXA8,0.7552577957117232
TUBB2A,0.7546122792722888
KRT15,0.7541757106518853
CDH3,0.7537706907209817
HNRNPA2B1,0.7506430172637538
CTSB,0.748609884942394
CCL21,0.7484531109369161
FLNA,0.7462151114078162
TUBB,0.7440817065259447
PRDX1,0.7431350046945273
COL5A2,0.7385324590285073
RAN,0.73730645456588
IFI27,0.7361309632053339
PTRF,0.7358040706534269
PTMA,0.73569362903313
DIO2,0.7335217920176849
ATP5B,0.7330323391029537
EIF5A,0.7330236562681883
ATP1A1,0.7324630632904621
ITGA6,0.7314931423425766
NECTIN1,0.7314705699100364
DYNLL1,0.7313357245330521
RPL29,0.7306787546075956
PLA2G2A,0.730562737553371
SPINT2,0.7305056396587584
POLR2L,0.7295943679275866
NDRG1,0.7284581981329585
SUB1,0.7284329172594036
NACA,0.726967250254106
GAPDH,0.7202657221228183
TP63,0.7194642919408661
CTSD,0.7189384281325206
HLA.C,0.7180896893714189
TYMP,0.7147390112311363
TAPBP,0.7109207868997088
DST,0.7108300695220808
IFITM3,0.7087856569877736
IFI6,0.7074395954555812
UQCRH,0.7065031081643671
ODC1,0.7060134225957018
CXCL12,0.7058729106130581
SERBP1,0.7056629275607951
RTN4,0.7052206906035912
RPL22,0.7031020620325615
ACTN1,0.7029589596479763
H3F3B,0.7004112139326618
HLA.E,0.700134281068723
COL5A1,0.6992615774419315
SOD3,0.6982066696940508
TPM4,0.6980977559994962
MYL12B,0.6964700675030927
HSPA8,0.6963797141565261
PGK1,0.694338069623007
HOPX,0.6931628887847896
THBS2,0.6929959777170176
RPL36A,0.6926697956900042
SEC61G,0.6912329022056058
C10orf99,0.6906427353107423
KRT75,0.6902531716501443
LCE3D,0.6885373269422032
PFDN5,0.6883812402523057
H3F3A,0.6883522588043616
PKP3,0.6880596381211109
PKM,0.6864316222964582
TIMP2,0.6857962710317085
TAGLN2,0.6857077744885722
EIF4G2,0.6855502962164889
RPS15A,0.6839649855538064
DSTN,0.6823865955450337
ALDOA,0.681227413663656
COX4I1,0.6801637539916743
ARPC2,0.6796128008726687
HLA.A,0.679237988803124
YWHAZ,0.6783875593541956
RPN2,0.6781698213775528
VWF,0.6780673358384282
AHNAK,0.6770401699159124
ITM2B,0.6767027994359508
DBI,0.6756209800581953
HSPG2,0.6746083514922462
CHCHD2,0.6742680516607049
MMP9,0.6738660743810132
RPS3A,0.6719918129914346
SLC38A2,0.6717522315065123
PPDPF,0.6703063536755376
TUBA4A,0.6701192214062681
RPS9,0.6693013024849103
COL15A1,0.6691697723476913
RHCG,0.6688747124815252
OAZ1,0.6684262146170957
CD99,0.668089083325661
HINT1,0.6674832438854346
CASP14,0.6665761961083824
CCL19,0.6663755425059454
TUBB4B,0.6663133621064803
ATP1B3,0.6645463111365191
CAP1,0.6641029462916682
TUBB6,0.6634895273817588
PRNP,0.662782125925184
RPS7,0.6625177501272221
H2AFZ,0.6622481947929617
SLC25A6,0.6615891479775727
PPP1CA,0.6615072328025063
CST3,0.6614135014033373
SERPINB13,0.6609751295146028
RAC1,0.660462559503311
HSP90AB1,0.6598707813386049
CNBP,0.6589854612169337
ARHGDIB,0.6581681646280961
EIF1,0.6581627037659097
KLK10,0.6557513417355704
MYH9,0.6548998340961582
RHOA,0.6538709682986753
HSP90AA1,0.6533211786661152
SLC7A5,0.6515635084992317
PIP,0.6514891969258079
RPS21,0.6511696052247438
MAL2,0.6508399316437598
S100A6,0.6507245717497568
GNAI2,0.649596801302579
MMP14,0.6490613303285373
CD59,0.6486200211075841
CTSC,0.6484011468419133
AQP1,0.648394823362308
RPL10A,0.6473880278580934
SAT1,0.6470299804521472
SERPINH1,0.6446539781098689
NCL,0.6441333692967686
AHNAK2,0.6437407033515054
WDR1,0.6436456728596094
MARCKS,0.6434933563796562
FKBP1A,0.6434892683636736
ARPC1B,0.6434760900660187
PLP2,0.643368686139571
C14orf2,0.6432723642416142
GRN,0.6423999360435194
YBX3,0.6423772742075176
TPM3,0.6419400503209339
LDHA,0.64193387262108
PSMB7,0.641592958484084
COX6B1,0.6415850863097267
UQCRQ,0.6411774674366517
SH3BGRL3,0.6406844912655065
SPRR1B,0.6396506073894099
ATP5A1,0.6389254206213627
TSPO,0.6387212267320971
TPI1,0.6387171033082835
CALM2,0.6381159050447596
PSME2,0.6379623829386893
EEF1B2,0.6371887645587424
NDUFS6,0.6370606457125251
HNRNPK,0.6370499692103012
LGALS7B,0.6367208085965496
RPS13,0.636143388678615
PRELID1,0.6358536963519695
RPS5,0.6352919341643668
COX7C,0.6330111945704088
YBX1,0.6327725716594349
PSMA7,0.6315698326796158
A2ML1,0.6314150481649665
MAFB,0.6305744829601375
RPS16,0.6302118607980671
UQCRC1,0.6296832843467669
LAMP1,0.6294672719556039
TMBIM6,0.628883929371967
YWHAE,0.628539727578427
STAT1,0.6282281553999217
KLK11,0.6281454443109822
NDUFS5,0.6280512858481729
SERPINB4,0.62569476655387
MAF,0.6250633902523565
JUP,0.6248803261853079
RBM3,0.6242740349024711
GUK1,0.6241991777717937
RPL5,0.6232677038679866
CLIC1,0.6228938186646592
EZR,0.6226338737874241
CTGF,0.6224912314594166
SERF2,0.6219623658186156
RPS10,0.6218845399844294
NDUFA4,0.6213522262009705
TIMM13,0.6207943280394478
ZFP36L2,0.6207161465234019
CD248,0.6206117648702137
RPL18,0.6205741882102258
SLC25A5,0.6200534848299214
MSN,0.6193353193817326
GJB2,0.6187952393511783
CAPNS1,0.6184385606280282
APRT,0.6182292282852427
ZFP36L1,0.617630169488681
HSPA5,0.6176217264769848
DDX5,0.6174579403833483
CD81,0.6173258584920155
PPP1CB,0.6163762310720354
RPL35,0.6163463071546137
HNRNPH1,0.6162764960852828
ELL2,0.6159916349750716
PEBP1,0.6158334543696198
CDC42,0.6154945419839177
LAMC2,0.6154218925823813
ATP5L,0.6150635812158978
RPS15,0.6148271256759217
CAPN2,0.6142535471621523
THBS1,0.6138778622176689
PPIA,0.6130615011373725
EDF1,0.6130432355147059
ACTR2,0.6126911723525833
CSDE1,0.612401055408357
TMSB4X,0.6117823636443979
VCP,0.6111614579876381
RPL36AL,0.6110609234137295
PTBP1,0.6108630736886987
ELOVL1,0.6106045258807172
PSMB4,0.6105749024873286
COX6C,0.6102425803392048
CD93,0.6096710499746003
SNRPD2,0.6091686015447791
CALD1,0.6091580991843695
BTG1,0.6091469318198354
HNRNPA3,0.6085827043918619
TCEB2,0.6083506482021367
COX7A2,0.6070844418195515
LMNA,0.6063278038755302
SKP1,0.6057913264836622
LAMB3,0.6054144343124092
RPS20,0.605332405879613
ATP5I,0.6048332287074343
EIF3B,0.6047901571396491
EIF3K,0.6043412646914067
CD44,0.6041235305769365
BCAP31,0.6027487437475498
ATP5E,0.6027373233997598
YWHAB,0.6023803159098036
HSP90B1,0.6023532263970924
CYBA,0.6023281603055431
SRSF3,0.6014594339867289
CANX,0.6013047108682344
PLEC,0.6012872386865338
C4orf3,0.6000880011889498
RHOC,0.6000322520663048
USMG5,0.5994673154932993
APCDD1,0.5988357694924762
MORF4L1,0.5988020687380744
MYL6,0.5986560974274666
RPS4X,0.5986385170337934
HLA.DRB1,0.5974924634079788
HNRNPAB,0.5971231449212665
SREK1IP1,0.5969816638516466
LAPTM4A,0.5960702588767429
C1QA,0.596043067742472
AC090498.1,0.5957945275779793
HNRNPU,0.5957900604000951
RPSA,0.5953045500902608
GPNMB,0.5945465477950799
POMP,0.5943992982985133
JCHAIN,0.593832319384637
MZT2B,0.593084480280591
RPS26,0.5929645777292933
RPL18A,0.5922764315921756
FAU,0.5921220513593729
COX8A,0.591979215216799
LGALS3BP,0.5914216055884427
RPL41,0.5912365373292706
COTL1,0.5897921379057987
PSMD8,0.5897390832479916
COMMD1,0.58821274659988
ECM1,0.5878521487835836
CIRBP,0.5876207118174539
PSME1,0.5873776875482398
FKBP10,0.5872866942096137
RPL24,0.5856074495050285
UBE2D3,0.5854114231421644
CAPZB,0.5851815167400154
MKNK2,0.584524821701524
RPS4Y1,0.5844068564476133
AP2S1,0.5838651661444392
ROMO1,0.5823177688966299
PTGES3,0.5815734216168328
CRABP2,0.581003447360207
APP,0.5809976627712434
PGAM1,0.5808076697611657
SLC25A3,0.58046880717589
HNRNPA1,0.5795017808142792
IMPA2,0.5794431493782042
LGALS3,0.5790304855832132
GPX4,0.5781023708032812
ATP5H,0.5781008729201766
MYL12A,0.5775597360358569
BZW1,0.5773370642624102
UBC,0.5772137676428688
CLTA,0.5767675365156065
CDH1,0.575692995027462
ENSA,0.574397867611271
STAB1,0.573203715650598
RPL10,0.5730673956734433
GNB2,0.573032555030532
GSTP1,0.5729918934101699
HDGF,0.5729510652233251
TOMM7,0.5729246445841297
CXCL9,0.5728207221935671
ITGB4,0.5725441831879946
HMGB1,0.5723807316912131
NUCKS1,0.5723159310966455
ATP5G3,0.5714111241078671
CLSTN1,0.571191303797853
PDGFRB,0.5710267836748006
PLS3,0.570752075692055
SON,0.570157555721832
MRPL51,0.5698765104723245
SYNGR2,0.5696419507742738
RAB10,0.5693899637996787
ANXA5,0.5693457794529726
RAB11A,0.5693108684688556
RPL38,0.5692741978169696
S100A14,0.5692490969245182
TMED10,0.5687418387988731
RPS19,0.5685136883709141
ARPC5,0.5684465287560396
RPL26,0.5682299779870867
EIF3H,0.5682203671243942
ACTN4,0.5681841245425147
COL5A3,0.5680899096512249
PRDX6,0.5679025481235784
TXNIP,0.5678883025714014
AKR1C1,0.5678538671430213
BTF3,0.567480048280895
PLPP3,0.5672659608059476
RPL6,0.5671832963504425
CD9,0.5666229594201978
PA2G4,0.5663830055268433
SET,0.566264786194669
CYCS,0.5660296511178317
GDI2,0.5660156878312715
CCND1,0.5656611255218414
CLTC,0.5649417874926808
CTNNB1,0.5648099557121155
EIF6,0.5645821703474838
MCL1,0.5645025210307716
DDX17,0.5644377424667986
DHCR24,0.5642789386011766
ATP5O,0.5641913068356552
OLFML2B,0.5641453498353071
SEC61A1,0.5640364243825872
KTN1,0.563685596651065
KLF5,0.5632819254651924
GPX1,0.5630695978960797
